Timestamp,Voltage (V),Current (A),Power (W)
2025-06-22T06:24:02.759Z,0.21,0.42,0
2025-06-22T06:24:03.772Z,0.21,0.42,0
2025-06-22T06:24:04.786Z,0.21,0.42,0
2025-06-22T06:24:05.790Z,0.21,0.42,0
2025-06-22T06:24:06.803Z,0.21,0.42,0
2025-06-22T06:24:07.806Z,0.21,0.42,0
2025-06-22T06:24:08.811Z,0.21,0.42,0
2025-06-22T06:24:09.814Z,0.21,0.42,0
2025-06-22T06:24:10.814Z,0.21,0.42,0
2025-06-22T06:24:11.815Z,0.21,0.42,0
2025-06-22T06:24:12.828Z,0.21,0.42,0
2025-06-22T06:24:13.827Z,0.21,0.42,0
2025-06-22T06:24:14.839Z,0.21,0.42,0
2025-06-22T06:24:15.853Z,0.21,0.42,0
2025-06-22T06:24:16.858Z,0.21,0.42,0
2025-06-22T06:24:17.860Z,0.21,0.42,0
2025-06-22T06:24:18.871Z,0.21,0.42,0
2025-06-22T06:24:19.884Z,0.21,0.42,0
2025-06-22T06:24:20.900Z,0.21,0.42,0
2025-06-22T06:24:21.912Z,0.21,0.42,0
2025-06-22T06:24:22.925Z,0.21,0.42,0
2025-06-22T06:24:23.928Z,0.21,0.42,0
2025-06-22T06:24:24.928Z,0.21,0.42,0
2025-06-22T06:24:25.938Z,0.21,0.42,0
2025-06-22T06:24:26.948Z,0.21,0.42,0
2025-06-22T06:24:27.955Z,0.21,0.42,0
2025-06-22T06:24:28.969Z,0.21,0.42,0
2025-06-22T06:24:29.982Z,0.21,0.42,0
2025-06-22T06:24:30.984Z,0.21,0.42,0
2025-06-22T06:24:31.986Z,0.21,0.42,0
2025-06-22T06:24:32.997Z,0.21,0.42,0
2025-06-22T06:24:34.003Z,0.21,0.42,0
2025-06-22T06:24:35.013Z,0.21,0.42,0
2025-06-22T06:24:36.016Z,0.21,0.42,0
2025-06-22T06:24:37.021Z,0.21,0.42,0
2025-06-22T06:24:38.032Z,0.21,0.42,0
2025-06-22T06:24:39.036Z,0.21,0.42,0
2025-06-22T06:24:40.041Z,0.21,0.42,0
2025-06-22T06:24:41.048Z,0.21,0.42,0
2025-06-22T06:25:42.112Z,0.21,0.42,0
2025-06-22T06:25:43.114Z,0.21,0.42,0
2025-06-22T06:25:44.122Z,0.21,0.42,0
2025-06-22T06:25:45.125Z,0.21,0.42,0
2025-06-22T06:25:46.126Z,0.21,0.42,0
2025-06-22T06:25:47.126Z,0.21,0.42,0
2025-06-22T06:25:48.134Z,0.21,0.42,0
2025-06-22T06:25:49.137Z,0.21,0.42,0
2025-06-22T06:25:50.140Z,0.21,0.42,0
2025-06-22T06:25:51.142Z,0.21,0.42,0
2025-06-22T06:25:52.142Z,0.21,0.42,0
2025-06-22T06:25:53.149Z,0.21,0.42,0
2025-06-22T06:25:54.153Z,0.21,0.42,0
2025-06-22T06:25:55.155Z,0.21,0.42,0
2025-06-22T06:25:56.170Z,0.21,0.42,0
